cityLabel,countryLabel,population
Tôlanaro,Madagascar,67284
Asella,Ethiopia,67269
Axum,Ethiopia,66800
Hihya,Egypt,66702
Goz Beïda,Chad,66107
Garissa,Kenya,65881
Youssoufia,Morocco,65669
Harardhere,Somalia,65523
São Tomé,São Tomé and Príncipe,65468
Mankono,Ivory Coast,64330
Sefrou,Morocco,64006
Inhambane,Mozambique,63837
Chokwe,Mozambique,63695
Dédougou,Burkina Faso,63617
Abo Qorqas,Egypt,63264
Kitale,Kenya,63245
Moroni,Comoros,62351
Kolda,Senegal,62258
Tighennif,Algeria,62210
Moroni,Comoros,62000
Praia,Cape Verde,61644
Djibo,Burkina Faso,61456
Moroni,Comoros,61200
Idiofa,Democratic Republic of the Congo,61056
Tan-Tan,Morocco,60698
Mbabane,Eswatini,60691
el-Kharga Town,Egypt,60584
Qus,Egypt,60068
Manhiça,Mozambique,60031
Kribi,Cameroon,60000
Dila,Ethiopia,59150
Ícolo e Bengo,Angola,59000
Mbombela,South Africa,58670
Tenkodogo,Burkina Faso,58600
Chibuto,Mozambique,58012
Livingstone,Zambia,58000
Singida,Tanzania,57904
Ouazzane,Morocco,57737
Biba,Egypt,57716
Boujdour,Morocco,57360
Boujdour,Western Sahara,57360
Samannud,Egypt,57177
Taroudant,Morocco,57136
Ben Slimane,Morocco,57101
Maun,Botswana,57067
Mafeteng,Lesotho,57059
Smara,Morocco,57035
Smara,Western Sahara,57035
Rîbnița,Ottoman Empire,56988
Chinhoyi,Zimbabwe,56794
Malika,Senegal,56707
Dome,Ghana,56655
Smara,Morocco,56607
Smara,Western Sahara,56607
Essaouira,Morocco,56074
Okemesi,Nigeria,56000
Bungoma,Kenya,55857
Sidi Bennour,Morocco,55847
Winneba,Ghana,55331
Touba,Ivory Coast,55013
Tômbwa,Angola,54873
Sefrou,Morocco,54163
Kongoussi,Burkina Faso,53641
Gisenyi,Rwanda,53603
Temsia,Morocco,52663
Marondera,Zimbabwe,52283
Léo,Burkina Faso,51746
Mangochi,Malawi,51429
Al Hamool,Egypt,51200
Bani Walid,Libya,50824
Beni Ansar,Morocco,50508
Al Hoceima,Morocco,50225
Tiflet,Morocco,49918
Selebi-Phikwe,Botswana,49724
Jacqueville,Ivory Coast,49694
Sebeta,Ethiopia,49331
Mbouda,Cameroon,49313
Notsé,Togo,49143
Titao,Burkina Faso,48242
Ambo,Ethiopia,48171
Lqliâa,Morocco,47837
Diamniadio,Senegal,47759
Serowe,Botswana,47447
Murzuk,Libya,47324
Loum,Cameroon,47305
Boujad,Morocco,47209
El-Balyana,Egypt,46997
Matai,Egypt,46903
Boujad,Morocco,46893
Monze,Zambia,46876
Bizerte,Tunisia,46700
Al Aaroui,Morocco,46540
Ben Slimane,Morocco,46478
Bindura,Zimbabwe,46275
Farim,Guinea-Bissau,46268
Chefchaouen,Morocco,46168
Isiolo,Kenya,45989
Koupéla,Burkina Faso,45900
Tan-Tan,Morocco,45821
Tindouf,Algeria,45610
Mansa,Zambia,45450
Carnot,Central African Republic,45421
Livingstone,Zambia,45200
Gaoua,Burkina Faso,45189
Garango,Burkina Faso,45150
Nag Hammadi,Egypt,45038
Jilib,Somalia,45000
Port Loko,Sierra Leone,44900
